program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count
108251017,2022,77,5.6,27,39,67
104351443,2022,82,8.2,12,25,59
203550384,2022,6,4.3,3,5,5
104390105,2022,52,4.8,14,29,46
201150076,2022,19,8.2,2,6,12
109590015,2022,52,7.0,10,24,39
102350381,2022,88,7.0,24,42,68
102090060,2022,62,6.0,16,29,51
110390142,2022,93,9.1,17,24,60
300150518,2022,9,11.1,2,3,5
203590177,2022,7,5.7,2,2,5
106650578,2022,72,6.0,19,39,58
101290070,2022,57,9.1,12,16,36
103350775,2022,82,7.1,12,27,62
201150067,2022,6,2.5,4,4,6
204190553,2022,29,10.6,2,6,16
200351709,2022,8,3.6,3,5,8
204150755,2022,9,5.7,3,3,8
109870235,2022,67,6.8,4,25,54
102890079,2022,82,9.2,8,25,52
109970207,2022,72,6.0,17,35,57
106170287,2022,103,8.4,9,24,71
205850199,2022,8,7.3,1,3,6
208910011,2022,9,4.1,0,6,8
300250474,2022,6,7.0,1,1,5
300250492,2022,10,4.4,3,6,8
109490179,2022,62,6.4,12,23,50
206250457,2022,8,8.5,0,2,6
300850105,2022,25,7.2,6,11,19
300850089,2022,4,4.5,2,3,3
300150493,2022,9,2.7,5,8,9
300150509,2022,12,6.4,5,7,9
206290197,2022,42,4.3,12,29,38
301390109,2022,17,5.8,2,8,14
200690543,2022,19,5.0,4,12,16
101370265,2022,52,8.2,7,17,36
205052979,2022,50,6.3,7,22,39
104790037,2022,77,7.5,17,32,54
205550448,2022,8,1.5,7,7,8
205052485,2022,64,4.6,14,33,57
200751247,2022,11,4.7,4,7,9
103670149,2022,72,5.9,17,35,62
204590392,2022,49,2.8,15,39,47
101451503,2022,82,3.5,37,60,77
206850715,2022,51,3.9,20,34,46
300350491,2022,13,5.5,2,9,10
204050023,2022,12,2.5,7,7,12
206850672,2022,12,4.0,2,6,12
108970185,2022,103,5.9,19,47,85
102551305,2022,108,7.2,10,41,81
208150152,2022,2,9.0,0,1,1
105651058,2022,113,3.1,70,91,104
200690346,2022,4,1.5,2,4,4
104251232,2022,93,3.9,43,60,86
205850206,2022,8,4.1,2,3,8
109252993,2022,103,5.4,30,56,86
208150188,2022,35,3.6,8,27,32
207451123,2022,25,4.9,8,14,23
103150017,2022,103,2.8,52,79,99
202456331,2022,47,4.6,10,26,41
201790264,2022,43,3.5,11,31,42
208750165,2022,11,6.5,2,4,8
209210138,2022,34,4.7,9,19,30
204751862,2022,8,2.3,5,6,8
206850681,2022,67,3.7,28,49,59
300350331,2022,15,5.4,9,10,11
204190560,2022,23,5.1,4,10,21
204050014,2022,35,4.3,11,21,31
102690216,2022,62,3.8,26,41,58
106490148,2022,72,9.3,4,15,49
300250508,2022,10,3.6,3,7,10
204590389,2022,1,7.0,0,0,1
200290135,2022,7,5.4,2,3,6
203051121,2022,68,3.6,33,49,61
204551776,2022,9,2.8,6,6,9
110670134,2022,41,5.7,11,22,34
103550967,2022,82,3.5,39,59,75
107390118,2022,62,7.3,11,23,47
203150325,2022,68,3.3,21,55,64
200690734,2022,36,7.8,5,11,24
208910010,2022,52,6.8,9,18,40
107790206,2022,52,4.1,23,32,45
105350875,2022,82,4.0,46,55,74
107050254,2022,62,6.3,12,29,50
203150988,2022,42,4.0,9,29,37
111750659,2022,93,4.0,20,69,85
101150853,2022,103,3.0,74,81,94
200690347,2022,2,7.0,0,0,2
209210080,2022,6,2.3,2,5,6
103390114,2022,82,7.9,9,28,58
203150979,2022,8,2.8,5,6,8
200290149,2022,40,6.7,5,16,33
201050447,2022,16,1.9,13,15,15
108890302,2022,31,2.4,15,25,31
200651857,2022,7,3.1,4,6,6
108190131,2022,57,6.5,15,27,42
200651848,2022,2,5.0,0,1,2
101870205,2022,82,9.1,12,30,52
107690200,2022,62,6.0,11,25,51
101370256,2022,72,7.6,15,26,49
205550457,2022,23,3.0,4,18,22
102190030,2022,52,5.7,13,30,41
106051352,2022,103,7.2,22,48,73
105190068,2022,62,5.5,22,32,51
103050778,2022,123,3.0,73,91,118
112370767,2021,41,4.2,5,25,38
300150509,2021,8,2.4,6,7,7
202752769,2021,21,2.3,10,17,21
206290197,2021,19,4.2,5,11,18
107690200,2021,62,3.8,23,39,56
208910010,2021,41,3.8,10,23,39
100751363,2021,72,2.6,41,53,71
202456313,2021,7,1.0,7,7,7
105690478,2021,923,2.0,464,846,909
103390114,2021,77,6.9,11,24,63
200690543,2021,16,4.0,2,8,15
101451724,2021,923,2.1,310,868,912
101370265,2021,52,7.0,7,17,44
202453576,2021,7,4.4,5,6,6
205052979,2021,8,2.3,1,8,8
109950257,2021,72,4.0,27,45,66
105190068,2021,62,3.7,32,45,57
107790206,2021,52,2.8,26,38,50
104790037,2021,72,6.7,18,33,54
300350491,2021,2,3.0,1,1,2
202353108,2021,8,5.3,1,5,7
102790217,2021,52,5.5,7,24,44
205550448,2021,6,5.7,4,4,5
103670149,2021,72,5.6,13,34,61
205052485,2021,62,2.5,24,51,61
208550033,2021,16,3.9,6,9,16
203150988,2021,41,3.0,19,31,38
200751247,2021,10,4.1,2,5,10
106951697,2021,72,3.2,39,51,69
202751647,2021,68,1.8,51,63,67
206850715,2021,20,1.9,9,19,20
110670119,2021,62,3.3,24,40,59
204590392,2021,41,3.9,13,30,36
105350875,2021,82,2.7,52,65,80
108950224,2021,103,3.3,49,71,97
112070694,2021,52,4.0,13,32,49
206850672,2021,12,4.8,6,8,10
102090060,2021,62,3.4,29,40,57
201450091,2021,11,2.5,5,8,11
104251232,2021,93,3.4,37,61,88
204050023,2021,11,1.5,9,10,11
103990106,2021,62,2.7,38,48,60
111750659,2021,93,3.3,31,69,86
108970185,2021,103,4.2,19,61,96
201450028,2021,11,4.1,1,4,11
201250709,2021,10,4.0,3,5,9
201290238,2021,51,2.4,18,41,51
107050254,2021,62,5.0,11,30,56
102551305,2021,103,5.8,10,40,88
105651058,2021,113,2.1,76,100,110
208150152,2021,0,,0,0,0
208550015,2021,9,7.4,0,3,8
300450233,2021,2,2.0,0,2,2
101370256,2021,72,5.1,23,35,62
101150853,2021,103,1.7,88,93,101
200690346,2021,3,1.0,3,3,3
207450867,2021,0,,0,0,0
201290288,2021,6,3.3,0,3,6
107250525,2021,72,2.0,57,65,70
203150979,2021,8,3.5,3,4,8
205850206,2021,8,3.6,1,4,8
300350331,2021,15,3.9,4,8,14
208150188,2021,14,1.9,6,13,14
207450513,2021,1,1.0,1,1,1
207450549,2021,24,4.2,10,14,22
109252993,2021,103,4.7,32,58,94
207450522,2021,8,4.4,2,5,7
106051352,2021,103,4.6,31,62,90
209210080,2021,15,3.7,5,8,15
207451123,2021,9,2.8,3,6,9
101090558,2021,62,2.5,28,53,61
200690347,2021,2,3.0,0,2,2
101870205,2021,82,5.8,19,45,66
202456331,2021,43,3.5,13,28,39
